"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","mean",NA,10840,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.025,8632,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.1,9267,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.25,9915,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.5,10728,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.75,11644,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.9,12559,"COVID-19"
"DE","00+",2022-03-22,2022-03-22,"0 day ahead inc hosp","quantile",0.975,13689,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","mean",NA,10800,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.025,9025,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.1,9528,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.25,10046,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.5,10703,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.75,11448,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.9,12199,"COVID-19"
"DE","00+",2022-03-22,2022-03-21,"-1 day ahead inc hosp","quantile",0.975,13130,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","mean",NA,10961,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.025,9218,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.1,9708,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.25,10216,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.5,10862,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.75,11599,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.9,12343,"COVID-19"
"DE","00+",2022-03-22,2022-03-20,"-2 day ahead inc hosp","quantile",0.975,13270,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","mean",NA,11276,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.025,9580,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.1,10056,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.25,10550,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.5,11179,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.75,11897,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.9,12622,"COVID-19"
"DE","00+",2022-03-22,2022-03-19,"-3 day ahead inc hosp","quantile",0.975,13526,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","mean",NA,11468,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.025,9902,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.1,10340,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.25,10795,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.5,11376,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.75,12041,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.9,12715,"COVID-19"
"DE","00+",2022-03-22,2022-03-18,"-4 day ahead inc hosp","quantile",0.975,13554,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","mean",NA,11528,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.025,10115,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.1,10509,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.25,10919,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.5,11444,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.75,12045,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.9,12655,"COVID-19"
"DE","00+",2022-03-22,2022-03-17,"-5 day ahead inc hosp","quantile",0.975,13417,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","mean",NA,11414,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.025,10173,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.1,10518,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.25,10878,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.5,11340,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.75,11869,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.9,12406,"COVID-19"
"DE","00+",2022-03-22,2022-03-16,"-6 day ahead inc hosp","quantile",0.975,13077,"COVID-19"
"DE","00+",2022-03-22,2022-03-15,"-7 day ahead inc hosp","mean",NA,11232,"COVID-19"
"DE","00+",2022-03-22,2022-03-15,"-7 day ahead inc hosp","quantile",0.025,10152,"COVID-19"
