"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","mean",NA,10313,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.025,7883,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.1,8566,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.25,9275,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.5,10175,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.75,11202,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.9,12239,"COVID-19"
"DE","00+",2022-02-23,2022-02-23,"0 day ahead inc hosp","quantile",0.975,13529,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","mean",NA,10151,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.025,8136,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.1,8692,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.25,9275,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.5,10026,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.75,10891,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.9,11772,"COVID-19"
"DE","00+",2022-02-23,2022-02-22,"-1 day ahead inc hosp","quantile",0.975,12875,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","mean",NA,9726,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.025,8137,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.1,8574,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.25,9033,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.5,9625,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.75,10309,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.9,11007,"COVID-19"
"DE","00+",2022-02-23,2022-02-21,"-2 day ahead inc hosp","quantile",0.975,11882,"COVID-19"
"DE","00+",2022-02-23,2022-02-20,"-3 day ahead inc hosp","mean",NA,9626,"COVID-19"
"DE","00+",2022-02-23,2022-02-20,"-3 day ahead inc hosp","quantile",0.025,8166,"COVID-19"
"DE","00+",2022-02-23,2022-02-20,"-3 day ahead inc hosp","quantile",0.1,8568,"COVID-19"
"DE","00+",2022-02-23,2022-02-20,"-3 day ahead inc hosp","quantile",0.25,8990,"COVID-19"
"DE","00+",2022-02-23,2022-02-20,"-3 day ahead inc hosp","quantile",0.5,9535,"COVID-19"
"DE","00+",2022-02-23,2022-02-20,"-3 day ahead inc hosp","quantile",0.75,10163,"COVID-19"
