"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","mean",NA,9535,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.025,7422,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.1,8017,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.25,8634,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.5,9416,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.75,10307,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.9,11205,"COVID-19"
"DE","00+",2022-03-08,2022-03-08,"0 day ahead inc hosp","quantile",0.975,12323,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","mean",NA,9294,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.025,7544,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.1,8026,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.25,8533,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.5,9185,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.75,9936,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.9,10701,"COVID-19"
"DE","00+",2022-03-08,2022-03-07,"-1 day ahead inc hosp","quantile",0.975,11660,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","mean",NA,9309,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.025,7617,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.1,8079,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.25,8568,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.5,9200,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.75,9932,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.9,10681,"COVID-19"
"DE","00+",2022-03-08,2022-03-06,"-2 day ahead inc hosp","quantile",0.975,11622,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","mean",NA,9456,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.025,7855,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.1,8292,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.25,8754,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.5,9352,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.75,10045,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.9,10753,"COVID-19"
"DE","00+",2022-03-08,2022-03-05,"-3 day ahead inc hosp","quantile",0.975,11643,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","mean",NA,9458,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.025,8035,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.1,8422,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.25,8833,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.5,9365,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.75,9982,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.9,10613,"COVID-19"
"DE","00+",2022-03-08,2022-03-04,"-4 day ahead inc hosp","quantile",0.975,11408,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","mean",NA,9387,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.025,8151,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.1,8488,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.25,8845,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.5,9307,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.75,9842,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.9,10390,"COVID-19"
"DE","00+",2022-03-08,2022-03-03,"-5 day ahead inc hosp","quantile",0.975,11080,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","mean",NA,9368,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.025,8296,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.1,8587,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.25,8896,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.5,9298,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.75,9763,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.9,10240,"COVID-19"
"DE","00+",2022-03-08,2022-03-02,"-6 day ahead inc hosp","quantile",0.975,10841,"COVID-19"
"DE","00+",2022-03-08,2022-03-01,"-7 day ahead inc hosp","mean",NA,9457,"COVID-19"
