"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","mean",NA,9061,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.025,6824,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.1,7418,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.25,8059,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.5,8901,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.75,9890,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.9,10912,"COVID-19"
"DE","00+",2022-04-26,2022-04-26,"0 day ahead inc hosp","quantile",0.975,12209,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","mean",NA,7572,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.025,6102,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.1,6489,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.25,6908,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.5,7463,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.75,8117,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.9,8795,"COVID-19"
"DE","00+",2022-04-26,2022-04-25,"-1 day ahead inc hosp","quantile",0.975,9658,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","mean",NA,7531,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.025,6156,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.1,6519,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.25,6912,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.5,7430,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.75,8041,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.9,8674,"COVID-19"
"DE","00+",2022-04-26,2022-04-24,"-2 day ahead inc hosp","quantile",0.975,9478,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","mean",NA,7547,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.025,6273,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.1,6614,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.25,6979,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.5,7458,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.75,8018,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.9,8596,"COVID-19"
"DE","00+",2022-04-26,2022-04-23,"-3 day ahead inc hosp","quantile",0.975,9328,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","mean",NA,6874,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.025,5830,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.1,6111,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.25,6411,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.5,6803,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.75,7259,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.9,7728,"COVID-19"
"DE","00+",2022-04-26,2022-04-22,"-4 day ahead inc hosp","quantile",0.975,8320,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","mean",NA,6856,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.025,5960,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.1,6202,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.25,6460,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.5,6796,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.75,7187,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.9,7589,"COVID-19"
"DE","00+",2022-04-26,2022-04-21,"-5 day ahead inc hosp","quantile",0.975,8096,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","mean",NA,6566,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.025,5825,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.1,6024,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.25,6237,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.5,6515,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.75,6839,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.9,7173,"COVID-19"
"DE","00+",2022-04-26,2022-04-20,"-6 day ahead inc hosp","quantile",0.975,7596,"COVID-19"
"DE","00+",2022-04-26,2022-04-19,"-7 day ahead inc hosp","mean",NA,6148,"COVID-19"
"DE","00+",2022-04-26,2022-04-19,"-7 day ahead inc hosp","quantile",0.025,5583,"COVID-19"
"DE","00+",2022-04-26,2022-04-19,"-7 day ahead inc hosp","quantile",0.1,5734,"COVID-19"
"DE","00+",2022-04-26,2022-04-19,"-7 day ahead inc hosp","quantile",0.25,5895,"COVID-19"
"DE","00+",2022-04-26,2022-04-19,"-7 day ahead inc hosp","quantile",0.5,6107,"COVID-19"
