"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","mean",NA,8007,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.025,6111,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.1,6661,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.25,7218,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.5,7915,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.75,8695,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.9,9473,"COVID-19"
"DE","00+",2021-12-24,2021-12-24,"0 day ahead inc hosp","quantile",0.975,10429,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","mean",NA,8132,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.025,6416,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.1,6909,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.25,7412,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.5,8044,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.75,8757,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.9,9470,"COVID-19"
"DE","00+",2021-12-24,2021-12-23,"-1 day ahead inc hosp","quantile",0.975,10350,"COVID-19"
"DE","00+",2021-12-24,2021-12-22,"-2 day ahead inc hosp","mean",NA,8200,"COVID-19"
"DE","00+",2021-12-24,2021-12-22,"-2 day ahead inc hosp","quantile",0.025,6751,"COVID-19"
"DE","00+",2021-12-24,2021-12-22,"-2 day ahead inc hosp","quantile",0.1,7170,"COVID-19"
