"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","mean",NA,4731,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.025,3573,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.1,3888,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.25,4222,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.5,4655,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.75,5157,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.9,5671,"COVID-19"
"DE","00+",2022-01-03,2022-01-03,"0 day ahead inc hosp","quantile",0.975,6319,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","mean",NA,4792,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.025,3643,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.1,3948,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.25,4278,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.5,4710,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.75,5217,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.9,5741,"COVID-19"
"DE","00+",2022-01-03,2022-01-02,"-1 day ahead inc hosp","quantile",0.975,6406,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","mean",NA,4878,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.025,3765,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.1,4060,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.25,4379,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.5,4798,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.75,5290,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.9,5799,"COVID-19"
"DE","00+",2022-01-03,2022-01-01,"-2 day ahead inc hosp","quantile",0.975,6444,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","mean",NA,4997,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.025,3957,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.1,4235,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.25,4534,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.5,4925,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.75,5382,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.9,5853,"COVID-19"
"DE","00+",2022-01-03,2021-12-31,"-3 day ahead inc hosp","quantile",0.975,6449,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","mean",NA,5098,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.025,4197,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.1,4441,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.25,4701,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.5,5038,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.75,5430,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.9,5832,"COVID-19"
"DE","00+",2022-01-03,2021-12-30,"-4 day ahead inc hosp","quantile",0.975,6338,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","mean",NA,5184,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.025,4420,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.1,4628,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.25,4849,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.5,5135,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.75,5466,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.9,5804,"COVID-19"
"DE","00+",2022-01-03,2021-12-29,"-5 day ahead inc hosp","quantile",0.975,6229,"COVID-19"
"DE","00+",2022-01-03,2021-12-28,"-6 day ahead inc hosp","mean",NA,5298,"COVID-19"
