"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","mean",NA,9532,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.025,7246,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.1,7888,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.25,8554,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.5,9401,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.75,10368,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.9,11345,"COVID-19"
"DE","00+",2021-11-25,2021-11-25,"0 day ahead inc hosp","quantile",0.975,12561,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","mean",NA,9497,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.025,7496,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.1,8046,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.25,8625,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.5,9371,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.75,10232,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.9,11110,"COVID-19"
"DE","00+",2021-11-25,2021-11-24,"-1 day ahead inc hosp","quantile",0.975,12211,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","mean",NA,9427,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.025,7783,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.1,8232,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.25,8707,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.5,9321,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.75,10032,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.9,10758,"COVID-19"
"DE","00+",2021-11-25,2021-11-23,"-2 day ahead inc hosp","quantile",0.975,11671,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","mean",NA,9045,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.025,7722,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.1,8082,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.25,8464,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.5,8958,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.75,9533,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.9,10121,"COVID-19"
"DE","00+",2021-11-25,2021-11-22,"-3 day ahead inc hosp","quantile",0.975,10862,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","mean",NA,8930,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.025,7701,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.1,8032,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.25,8385,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.5,8846,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.75,9384,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.9,9937,"COVID-19"
"DE","00+",2021-11-25,2021-11-21,"-4 day ahead inc hosp","quantile",0.975,10636,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","mean",NA,8986,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.025,7825,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.1,8133,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.25,8466,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.5,8902,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.75,9415,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.9,9946,"COVID-19"
"DE","00+",2021-11-25,2021-11-20,"-5 day ahead inc hosp","quantile",0.975,10619,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","mean",NA,8864,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.025,7836,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.1,8103,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.25,8396,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.5,8785,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.75,9246,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.9,9728,"COVID-19"
"DE","00+",2021-11-25,2021-11-19,"-6 day ahead inc hosp","quantile",0.975,10343,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","mean",NA,8744,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.025,7834,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.1,8063,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.25,8319,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.5,8667,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.75,9084,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.9,9524,"COVID-19"
"DE","00+",2021-11-25,2021-11-18,"-7 day ahead inc hosp","quantile",0.975,10092,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","mean",NA,8615,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.025,7817,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.1,8012,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.25,8234,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.5,8541,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.75,8915,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.9,9314,"COVID-19"
"DE","00+",2021-11-25,2021-11-17,"-8 day ahead inc hosp","quantile",0.975,9832,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","mean",NA,8303,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.025,7640,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.1,7797,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.25,7980,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.5,8237,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.75,8555,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.9,8896,"COVID-19"
"DE","00+",2021-11-25,2021-11-16,"-9 day ahead inc hosp","quantile",0.975,9345,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","mean",NA,8098,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.025,7528,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.1,7659,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.25,7815,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.5,8037,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.75,8314,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.9,8615,"COVID-19"
"DE","00+",2021-11-25,2021-11-15,"-10 day ahead inc hosp","quantile",0.975,9013,"COVID-19"
"DE","00+",2021-11-25,2021-11-14,"-11 day ahead inc hosp","mean",NA,7958,"COVID-19"
"DE","00+",2021-11-25,2021-11-14,"-11 day ahead inc hosp","quantile",0.025,7422,"COVID-19"
"DE","00+",2021-11-25,2021-11-14,"-11 day ahead inc hosp","quantile",0.1,7543,"COVID-19"
"DE","00+",2021-11-25,2021-11-14,"-11 day ahead inc hosp","quantile",0.25,7688,"COVID-19"
"DE","00+",2021-11-25,2021-11-14,"-11 day ahead inc hosp","quantile",0.5,7897,"COVID-19"
