"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","mean",NA,8634,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.025,6647,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.1,7200,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.25,7777,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.5,8515,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.75,9363,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.9,10222,"COVID-19"
"DE","00+",2022-02-08,2022-02-08,"0 day ahead inc hosp","quantile",0.975,11297,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","mean",NA,8330,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.025,6727,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.1,7162,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.25,7624,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.5,8224,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.75,8921,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.9,9635,"COVID-19"
"DE","00+",2022-02-08,2022-02-07,"-1 day ahead inc hosp","quantile",0.975,10534,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","mean",NA,8360,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.025,6811,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.1,7227,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.25,7672,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.5,8253,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.75,8933,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.9,9632,"COVID-19"
"DE","00+",2022-02-08,2022-02-06,"-2 day ahead inc hosp","quantile",0.975,10518,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","mean",NA,8450,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.025,6985,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.1,7376,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.25,7796,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.5,8347,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.75,8992,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.9,9658,"COVID-19"
"DE","00+",2022-02-08,2022-02-05,"-3 day ahead inc hosp","quantile",0.975,10503,"COVID-19"
"DE","00+",2022-02-08,2022-02-04,"-4 day ahead inc hosp","mean",NA,8337,"COVID-19"
"DE","00+",2022-02-08,2022-02-04,"-4 day ahead inc hosp","quantile",0.025,7052,"COVID-19"
