"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","mean",NA,8751,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.025,6934,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.1,7418,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.25,7939,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.5,8622,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.75,9423,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.9,10249,"COVID-19"
"DE","00+",2022-04-04,2022-04-04,"0 day ahead inc hosp","quantile",0.975,11296,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","mean",NA,9133,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.025,7264,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.1,7754,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.25,8287,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.5,8993,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.75,9827,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.9,10694,"COVID-19"
"DE","00+",2022-04-04,2022-04-03,"-1 day ahead inc hosp","quantile",0.975,11798,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","mean",NA,9633,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.025,7761,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.1,8251,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.25,8784,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.5,9492,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.75,10328,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.9,11196,"COVID-19"
"DE","00+",2022-04-04,2022-04-02,"-2 day ahead inc hosp","quantile",0.975,12304,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","mean",NA,10443,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.025,8665,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.1,9136,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.25,9645,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.5,10314,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.75,11102,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.9,11916,"COVID-19"
"DE","00+",2022-04-04,2022-04-01,"-3 day ahead inc hosp","quantile",0.975,12950,"COVID-19"
"DE","00+",2022-04-04,2022-03-31,"-4 day ahead inc hosp","mean",NA,10747,"COVID-19"
"DE","00+",2022-04-04,2022-03-31,"-4 day ahead inc hosp","quantile",0.025,9178,"COVID-19"
"DE","00+",2022-04-04,2022-03-31,"-4 day ahead inc hosp","quantile",0.1,9598,"COVID-19"
"DE","00+",2022-04-04,2022-03-31,"-4 day ahead inc hosp","quantile",0.25,10049,"COVID-19"
