"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","mean",NA,10294,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.025,7894,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.1,8573,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.25,9274,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.5,10162,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.75,11170,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.9,12187,"COVID-19"
"DE","00+",2022-02-24,2022-02-24,"0 day ahead inc hosp","quantile",0.975,13448,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","mean",NA,10224,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.025,8143,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.1,8721,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.25,9325,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.5,10098,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.75,10986,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.9,11887,"COVID-19"
"DE","00+",2022-02-24,2022-02-23,"-1 day ahead inc hosp","quantile",0.975,13014,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","mean",NA,10108,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","quantile",0.025,8393,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","quantile",0.1,8867,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","quantile",0.25,9365,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","quantile",0.5,10003,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","quantile",0.75,10737,"COVID-19"
"DE","00+",2022-02-24,2022-02-22,"-2 day ahead inc hosp","quantile",0.9,11484,"COVID-19"
