"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","mean",NA,9283,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.025,7327,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.1,7871,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.25,8439,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.5,9166,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.75,9999,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.9,10845,"COVID-19"
"DE","00+",2022-04-10,2022-04-10,"0 day ahead inc hosp","quantile",0.975,11902,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","mean",NA,9713,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.025,7681,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.1,8237,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.25,8824,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.5,9583,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.75,10461,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.9,11358,"COVID-19"
"DE","00+",2022-04-10,2022-04-09,"-1 day ahead inc hosp","quantile",0.975,12485,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","mean",NA,9952,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.025,8113,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.1,8617,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.25,9149,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.5,9835,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.75,10628,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.9,11437,"COVID-19"
"DE","00+",2022-04-10,2022-04-08,"-2 day ahead inc hosp","quantile",0.975,12452,"COVID-19"
"DE","00+",2022-04-10,2022-04-07,"-3 day ahead inc hosp","mean",NA,10128,"COVID-19"
"DE","00+",2022-04-10,2022-04-07,"-3 day ahead inc hosp","quantile",0.025,8520,"COVID-19"
"DE","00+",2022-04-10,2022-04-07,"-3 day ahead inc hosp","quantile",0.1,8963,"COVID-19"
"DE","00+",2022-04-10,2022-04-07,"-3 day ahead inc hosp","quantile",0.25,9429,"COVID-19"
